feature_name,feature_type
PC1,demographic
PC2,demographic
Age.norm,demographic
BMI.catg,target
MaleGender,demographic
hba1c.norm,clinical
sv1,technical
sv2,technical
sv3,technical
sv4,technical
sv5,technical
sv6,technical
sv7,technical
sv8,technical
sv9,technical
sv10,technical
sv11,technical
sv12,technical
sv13,technical
sv14,technical
sv15,technical
TOThf8F.h.nz9UcYKo,expression
NIwad1IXif1m0kLKDY,expression
TtLPvPp.2z13wbgW3s,expression
fgexZ3f.pSdRXVhgpQ,expression
uud.vTT6V09Qkfxnt4,expression
cnvl0IALn.3U6OKchU,expression
QukxEiSW7kgU4wVQOo,expression
lHLVWt1Y9UHi7z_RHk,expression
3i9eD.gSjxeiXolH8I,expression
6uK9TUlC.O6XPt0od0,expression
6lQj_uXkl37evih_qQ,expression
fr.eioN6UIS1HxOjbs,expression
EYR7oeBEeCd46gBeuE,expression
rROR.u7dd8PgqKnio4,expression
i7XuHlUSIwqlKKj4Ck,expression
cgCe7bvV7gHiSu7vpk,expression
lAZSt5e9_epDp46eUs,expression
iU9KCp6qLu7pDAn4KQ,expression
N2KF527U2t6HviVeno,expression
iDieCZbqCKkxouu1O4,expression
xh763crJf63PsRDdP0,expression
upe1S87l9XQlAlglX8,expression
ZhNtFecYekCOKingmk,expression
0oKJHocttHFf.o9KnU,expression
06jt6JSj760.h05fgk,expression
lRfyRoy.XrVC6u6JfU,expression
ZVJ0yu9Me8TUgT_0p0,expression
3lK5VLXeP.XU158UXU,expression
Nf5N7DUQI96knlF0t0,expression
0e0o6rfXT7Km8o75.c,expression
Nd91eTR709EOAryggk,expression
unJP.UGKgfPWRqXHso,expression
BXKl.7o_EstV1sonRI,expression
0ZqCOmgSnFC1ue.u7c,expression
9LmeJXpALihvufY6JQ,expression
6qt7iLE7PMxCRBKn5E,expression
xVZRQfH8UXOHsftLOI,expression
3tAR_4f_fw9Tg715dc,expression
BUHjdVRX6PIvXncXxU,expression
cv9_VS0p0JXuvsoMCU,expression
05VLSnQle6_ygwJe40,expression
Nwog6VLXdULURKorjI,expression
QacSfRRRpYmoDbm4Tw,expression
6EoLV_U1wCUVR93cKI,expression
6inpCBS_.7fmre0q_g,expression
Kb93lrZDoIIjZZnrT4,expression
uor8nTo_mnU9yXf6sU,expression
rpUbpNjXV5WYLhL8QA,expression
0KI6VQQkVZ.5JIoni8,expression
oUXkAnD7ul6_oqnP.o,expression
