"nuID" "symbols"
"1" "Ku8QhfS0n_hIOABXuE" "7A5"
"2" "fqPEquJRRlSVSfL.8A" "A1BG"
"3" "ckiehnugOno9d7vf1Q" "A1BG"
"4" "x57Vw5B5Fbt5JUnQkI" "A1CF"
"5" "ritxUH.kuHlYqjozpE" "A1CF"
"6" "QpE5UiUgmJOJEkPXpc" "A1CF"
"7" "EedxN6XeUOgPSCywB0" "A26C3"
"8" "ZtOcIegchMOATSJScI" "A26C3"
"9" "3l3lDoD0gssAdeehIY" "A26C3"
"10" "WS4S8aGL855YVcUUZE" "A2BP1"
"11" "KS8aGL855YVcUUZH50" "A2BP1"
"12" "HA0vbfb5JI4D9_wRd4" "A2BP1"
"13" "TdSfOuLunqrkiJkag8" "A2BP1"
"14" "Bx496XsFXiAlj.Eaeo" "A2LD1"
"15" "ZfoDn4IUQp4Auf56LU" "A2M"
"16" "97DZJV_gpQpKINl0Ec" "A2ML1"
"17" "r33p5EJWUK57ZWL3no" "A3GALT2"
"18" "HO95OhuhSR9JpH.qVg" "A3GALT2"
"19" "W38p0ogk.wIBVRXllY" "A4GALT"
"20" "QUTgUoqmp7jyKCQRHo" "A4GNT"
"21" "QIBkqIS9LR5DfTlTS8" "AAA1"
"22" "BZKiEvS0eQ305U0v34" "AAA1"
"23" "lhehl0Edel8XV_eBt0" "AAA1"
"24" "HshT.TuzF13i0V0rKg" "AAA1"
"25" "6Rff76jvd6HDh1KYhQ" "AAA1"
"26" "6TheVd.HiE1UF3lX6g" "AAAS"
"27" "QueXUXiL5yqvftiNO0" "AACS"
"28" "xSoSAshSJ89KgqiIgo" "AACSL"
"29" "l1KvXI7ipJV.vp44QQ" "AADAC"
"30" "TOThf8F.h.nz9UcYKo" "AADACL1"
"31" "xpKvX0PpP9VIPuJQJc" "AADACL1"
"32" "3lKHxISSJPFfvpQ490" "AADACL2"
"33" "ljjP4gnSDe9zlUP.e8" "AADACL3"
"34" "NVYooKpCzodxSAWrn8" "AADACL4"
"35" "EpvlIuKLySkofhinf4" "AADAT"
"36" "x3qWmXKWlBmhlq_a48" "AADAT"
"37" "cQchF.wLl3A9NI6UB4" "AADAT"
"38" "WpeTkd6Xk6SBCFe3cA" "AADAT"
"39" "BUUlTS79.iuPk8qC_k" "AAGAB"
"40" "EiRfvEvWl3SzupwOUk" "AAK1"
"41" "NajKinX6sOcFzkCC8U" "AAK1"
"42" "uy8FDV6oMleUVSCUKc" "AAK1"
"43" "9KKuqV6OH9SXfQeH50" "AAMP"
"44" "9nTuYoZnrFfc4ivSfU" "AANAT"
"45" "NIwad1IXif1m0kLKDY" "AARS"
"46" "6pIQKnV6ceoIxIFNe4" "AARS2"
"47" "9HupjiArrod98ekqUU" "AARSD1"
"48" "Hekkk3HjqAu6N_g3SI" "AASDH"
"49" "BgnCcruCDoPoJUeX1Q" "AASDHPPT"
"50" "TtLPvPp.2z13wbgW3s" "AASDHPPT"
"51" "EW6rxUWU6SUA75_OuA" "AASS"
"52" "WpcOqV.0CiNzoUM_iY" "AASS"
"53" "fgexZ3f.pSdRXVhgpQ" "AATF"
"54" "WSzete5VJ5QKIuqlOU" "AATK"
"55" "67nRKEfAUoYpOlWIR4" "AATK"
"56" "64Va9Z4jSCkEneL1Ko" "AATK"
"57" "BIRUmeWgdqmZNWQtoE" "ABAT"
"58" "TB0kgnrABOqJWihKec" "ABAT"
"59" "3nTrIAUycLJNkh8JsQ" "ABAT"
"60" "uud.vTT6V09Qkfxnt4" "ABCA1"
"61" "inSONXXEOiU0y7euFI" "ABCA10"
"62" "lQKyzSyky0.3s3.RdE" "ABCA10"
"63" "3uijtRXe3Sl.9A8Cks" "ABCA11"
"64" "01IkVC9SAgpOTRyUSw" "ABCA12"
"65" "fKHkMiKkPxXrrEaBcg" "ABCA12"
"66" "0pf.QRwb4sWsn7jQKQ" "ABCA13"
"67" "9Fl41YHV7kiFIdlYM4" "ABCA2"
"68" "9qaJ6tLVs.P_f4ginU" "ABCA2"
"69" "ZFcKnq6e3QoRPgxvuE" "ABCA3"
